"PopName" "Year" "Sex" "AgeGroup" "Deaths"
"1" "SchleswigHolstein" 2018 "f" 0 49
"2" "SchleswigHolstein" 2018 "f" 1 39
"3" "SchleswigHolstein" 2018 "f" 20 24
"4" "SchleswigHolstein" 2018 "f" 30 32
"5" "SchleswigHolstein" 2018 "f" 35 48
"6" "SchleswigHolstein" 2018 "f" 40 59
"7" "SchleswigHolstein" 2018 "f" 45 154
"8" "SchleswigHolstein" 2018 "f" 50 317
"9" "SchleswigHolstein" 2018 "f" 55 516
"10" "SchleswigHolstein" 2018 "f" 60 687
"11" "SchleswigHolstein" 2018 "f" 65 975
"12" "SchleswigHolstein" 2018 "f" 70 1244
"13" "SchleswigHolstein" 2018 "f" 75 2287
"14" "SchleswigHolstein" 2018 "f" 80 3153
"15" "SchleswigHolstein" 2018 "f" 85 3488
"16" "SchleswigHolstein" 2018 "f" 90 5006
"17" "SchleswigHolstein" 2018 "m" 0 53
"18" "SchleswigHolstein" 2018 "m" 1 41
"19" "SchleswigHolstein" 2018 "m" 20 91
"20" "SchleswigHolstein" 2018 "m" 30 51
"21" "SchleswigHolstein" 2018 "m" 35 81
"22" "SchleswigHolstein" 2018 "m" 40 123
"23" "SchleswigHolstein" 2018 "m" 45 270
"24" "SchleswigHolstein" 2018 "m" 50 587
"25" "SchleswigHolstein" 2018 "m" 55 883
"26" "SchleswigHolstein" 2018 "m" 60 1130
"27" "SchleswigHolstein" 2018 "m" 65 1507
"28" "SchleswigHolstein" 2018 "m" 70 1859
"29" "SchleswigHolstein" 2018 "m" 75 3231
"30" "SchleswigHolstein" 2018 "m" 80 3496
"31" "SchleswigHolstein" 2018 "m" 85 2555
"32" "SchleswigHolstein" 2018 "m" 90 1885
"33" "SchleswigHolstein" 2019 "f" 0 28
"34" "SchleswigHolstein" 2019 "f" 1 29
"35" "SchleswigHolstein" 2019 "f" 20 24
"36" "SchleswigHolstein" 2019 "f" 30 25
"37" "SchleswigHolstein" 2019 "f" 35 46
"38" "SchleswigHolstein" 2019 "f" 40 82
"39" "SchleswigHolstein" 2019 "f" 45 140
"40" "SchleswigHolstein" 2019 "f" 50 303
"41" "SchleswigHolstein" 2019 "f" 55 517
"42" "SchleswigHolstein" 2019 "f" 60 661
"43" "SchleswigHolstein" 2019 "f" 65 916
"44" "SchleswigHolstein" 2019 "f" 70 1182
"45" "SchleswigHolstein" 2019 "f" 75 2209
"46" "SchleswigHolstein" 2019 "f" 80 3272
"47" "SchleswigHolstein" 2019 "f" 85 3268
"48" "SchleswigHolstein" 2019 "f" 90 4707
"49" "SchleswigHolstein" 2019 "m" 0 49
