"PopName" "Year" "Sex" "AgeGroup" "Population"
"1" "SchleswigHolstein" 2017 "f" 0 12288
"2" "SchleswigHolstein" 2017 "f" 1 12659
"3" "SchleswigHolstein" 2017 "f" 2 12225
"4" "SchleswigHolstein" 2017 "f" 3 12337
"5" "SchleswigHolstein" 2017 "f" 4 11931
"6" "SchleswigHolstein" 2017 "f" 5 12098
"7" "SchleswigHolstein" 2017 "f" 6 11902
"8" "SchleswigHolstein" 2017 "f" 7 12387
"9" "SchleswigHolstein" 2017 "f" 8 12051
"10" "SchleswigHolstein" 2017 "f" 9 12732
"11" "SchleswigHolstein" 2017 "f" 10 12678
"12" "SchleswigHolstein" 2017 "f" 11 12492
"13" "SchleswigHolstein" 2017 "f" 12 12574
"14" "SchleswigHolstein" 2017 "f" 13 13117
"15" "SchleswigHolstein" 2017 "f" 14 13308
"16" "SchleswigHolstein" 2017 "f" 15 13611
"17" "SchleswigHolstein" 2017 "f" 16 14087
"18" "SchleswigHolstein" 2017 "f" 17 14974
"19" "SchleswigHolstein" 2017 "f" 18 15073
"20" "SchleswigHolstein" 2017 "f" 19 15231
"21" "SchleswigHolstein" 2017 "f" 20 15327
"22" "SchleswigHolstein" 2017 "f" 21 15174
"23" "SchleswigHolstein" 2017 "f" 22 14563
"24" "SchleswigHolstein" 2017 "f" 23 14741
"25" "SchleswigHolstein" 2017 "f" 24 15104
"26" "SchleswigHolstein" 2017 "f" 25 15143
"27" "SchleswigHolstein" 2017 "f" 26 15477
"28" "SchleswigHolstein" 2017 "f" 27 16291
"29" "SchleswigHolstein" 2017 "f" 28 15896
"30" "SchleswigHolstein" 2017 "f" 29 16095
"31" "SchleswigHolstein" 2017 "f" 30 15882
"32" "SchleswigHolstein" 2017 "f" 31 15785
"33" "SchleswigHolstein" 2017 "f" 32 15510
"34" "SchleswigHolstein" 2017 "f" 33 15586
"35" "SchleswigHolstein" 2017 "f" 34 16006
"36" "SchleswigHolstein" 2017 "f" 35 16772
"37" "SchleswigHolstein" 2017 "f" 36 16909
"38" "SchleswigHolstein" 2017 "f" 37 17438
"39" "SchleswigHolstein" 2017 "f" 38 16585
"40" "SchleswigHolstein" 2017 "f" 39 16491
"41" "SchleswigHolstein" 2017 "f" 40 16528
"42" "SchleswigHolstein" 2017 "f" 41 16744
