"PopName" "Year" "Sex" "AgeGroup" "Deaths" "Ex"
"1" "BadenWuerttemberg" 2018 "f" 0 115 52773.5
"2" "BadenWuerttemberg" 2018 "f" 1 85 969553
"3" "BadenWuerttemberg" 2018 "f" 20 124 672891
"4" "BadenWuerttemberg" 2018 "f" 30 117 348066
"5" "BadenWuerttemberg" 2018 "f" 35 149 344223.5
"6" "BadenWuerttemberg" 2018 "f" 40 227 324620.5
"7" "BadenWuerttemberg" 2018 "f" 45 469 384386.5
"8" "BadenWuerttemberg" 2018 "f" 50 944 449044.5
"9" "BadenWuerttemberg" 2018 "f" 55 1379 419754
"10" "BadenWuerttemberg" 2018 "f" 60 1900 351102.5
"11" "BadenWuerttemberg" 2018 "f" 65 2613 308621.5
"12" "BadenWuerttemberg" 2018 "f" 70 3236 237571
"13" "BadenWuerttemberg" 2018 "f" 75 6557 282968.5
"14" "BadenWuerttemberg" 2018 "f" 80 9903 217260.5
"15" "BadenWuerttemberg" 2018 "f" 85 12103 120980
"16" "BadenWuerttemberg" 2018 "f" 90 16742 73145.5
"17" "BadenWuerttemberg" 2018 "m" 0 171 55273.5
"18" "BadenWuerttemberg" 2018 "m" 1 152 1033041.5
"19" "BadenWuerttemberg" 2018 "m" 20 298 749698.5
"20" "BadenWuerttemberg" 2018 "m" 30 220 375635.5
"21" "BadenWuerttemberg" 2018 "m" 35 291 354055.5
"22" "BadenWuerttemberg" 2018 "m" 40 381 328927.5
"23" "BadenWuerttemberg" 2018 "m" 45 768 389950.5
"24" "BadenWuerttemberg" 2018 "m" 50 1554 462364.5
"25" "BadenWuerttemberg" 2018 "m" 55 2497 422858.5
"26" "BadenWuerttemberg" 2018 "m" 60 3392 338491
"27" "BadenWuerttemberg" 2018 "m" 65 4388 281248
"28" "BadenWuerttemberg" 2018 "m" 70 5051 210675
"29" "BadenWuerttemberg" 2018 "m" 75 8845 230430
"30" "BadenWuerttemberg" 2018 "m" 80 10553 158732
"31" "BadenWuerttemberg" 2018 "m" 85 9136 70889
"32" "BadenWuerttemberg" 2018 "m" 90 6774 27246.5
"33" "BadenWuerttemberg" 2019 "f" 0 139 52957
"34" "BadenWuerttemberg" 2019 "f" 1 96 972091.5
"35" "BadenWuerttemberg" 2019 "f" 20 115 667399.5
"36" "BadenWuerttemberg" 2019 "f" 30 105 354411
"37" "BadenWuerttemberg" 2019 "f" 35 174 348218.5
"38" "BadenWuerttemberg" 2019 "f" 40 214 326476
"39" "BadenWuerttemberg" 2019 "f" 45 437 365381.5
"40" "BadenWuerttemberg" 2019 "f" 50 872 443654
"41" "BadenWuerttemberg" 2019 "f" 55 1380 430750.5
"42" "BadenWuerttemberg" 2019 "f" 60 1839 360990.5
"43" "BadenWuerttemberg" 2019 "f" 65 2565 313337
"44" "BadenWuerttemberg" 2019 "f" 70 3303 241653
"45" "BadenWuerttemberg" 2019 "f" 75 6120 269613
"46" "BadenWuerttemberg" 2019 "f" 80 10234 232008
