"Altersgruppe" "Jahr" "Dx_Deutschland" "Nx_Deutschland" "Dx_Schweiz" "Nx_Schweiz" "Europa_Standard_2013"
"1" "0" 2019 2485 777261 283 85519 0.01
"2" "1-4" 2019 467 3168908 42 352602 0.04
"3" "5-9" 2019 290 3691331 33 432740 0.055
"4" "10-14" 2019 314 3702491 27 418812 0.055
"5" "15-19" 2019 874 3967060 85 423479 0.055
"6" "20-24" 2019 1350 4607496 156 481298 0.06
"7" "25-29" 2019 1745 5135644 166 567979 0.06
"8" "30-34" 2019 2635 5452189 209 608774 0.065
"9" "35-39" 2019 3899 5262762 269 612112 0.07
"10" "40-44" 2019 5435 4867267 446 585880 0.07
"11" "45-49" 2019 10140 5416247 736 614629 0.07
"12" "50-54" 2019 21415 6798622 1338 668133 0.07
"13" "55-59" 2019 35552 6673219 2071 619648 0.065
"14" "60-64" 2019 48966 5571840 2880 510960 0.06
"15" "65-69" 2019 65504 4838726 3895 429120 0.055
"16" "70-74" 2019 73890 3642295 6088 399366 0.05
"17" "75-79" 2019 129065 3982433 7740 314908 0.04
"18" "80-84" 2019 181439 3203326 10484 223056 0.025
"19" "85-89" 2019 168926 1522169 13557 143797 0.015
"20" "90-94" 2019 131257 650406 11525 64423 0.008
"21" "95+" 2019 53872 159418 5750 17754 0.002
