"PopName" "2019_f" "2019_m" "2021_f" "2021_m" "Diff.f" "Diff.m"
"1" "BadenWürttemberg" 84.2937737338042 79.9324488536124 84.1758196070794 79.6569368393565 -0.117954126724769 -0.275512014255881
"2" "Bayern" 84.0098788932045 79.740120664331 83.5668154819004 79.030737732745 -0.44306341130401 -0.709382931586049
"3" "Berlin" 83.7202143002019 78.8671636763539 83.4763211344775 78.0958180857604 -0.243893165724472 -0.771345590593555
"4" "Brandenburg" 83.8204412277067 78.1035743542709 83.0185463685749 76.8878279322993 -0.801894859131764 -1.21574642197164
"5" "Bremen" 83.1102888875589 77.8707581916294 82.8847350286638 77.105310802776 -0.225553858895154 -0.765447388853403
"6" "Hamburg" 83.7153308041193 79.0303134924206 83.2554491449591 78.5177270880985 -0.459881659160217 -0.51258640432215
"7" "Hessen" 83.6838380418162 79.485913645406 83.3767994456122 78.7833812688409 -0.307038596204038 -0.702532376565074
"8" "MecklenburgVorpommern" 83.2281927722064 77.0429522803783 82.7429795967767 76.43298479441 -0.485213175429678 -0.609967485968355
"9" "Niedersachsen" 83.1761147964761 78.3663749115493 83.0110719618435 78.0956808447775 -0.165042834632573 -0.270694066771838
"10" "NordrheinWestfalen" 83.0216144638722 78.5046981729903 82.7222052188902 78.1011680324229 -0.29940924498203 -0.403530140567426
"11" "RheinlandPfalz" 83.2077502997286 79.0302270554165 83.1735156692534 78.4926992885834 -0.0342346304752112 -0.537527766833136
"12" "Saarland" 82.3806474782748 77.7323282473596 82.0044658730975 77.2787948704511 -0.376181605177251 -0.453533376908467
"13" "Sachsen" 84.1084735605541 78.1704101252047 83.0921945060011 76.6662076727035 -1.01627905455304 -1.50420245250125
"14" "SachsenAnhalt" 82.9448288983244 76.8021395185372 81.9623678990561 75.2772106148374 -0.98246099926827 -1.52492890369983
"15" "SchleswigHolstein" 83.1911919386482 78.4679096099574 82.9538589070443 78.6516214966598 -0.237333031603939 0.183711886702412
"16" "Thüringen" 83.3391414677642 77.7820175126538 82.1446836366922 76.1816052767498 -1.19445783107203 -1.60041223590393
